Country name,Code,GDP,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Fragile State index,Security index,Brain drain,Unemployment rate,Blue Index
Afghanistan,AFG,0.012109737800957348,0.0,0.13882863340563986,0.09615384615384613,0.17708333333333315,0.0,0.23376623376623376,1.0,0.07153546842262795,0.3914711766477935,0.1968103856341461,,0.1065830721003135,,,,0.37543103448275866,,,0.0,0.9588744588744589,1.0,0.9199999999999998,0.4021820917983446,0.21993901023485585
Albania,ALB,0.10937165106808602,0.3859649122807017,0.5531453362255968,0.38461538461538464,0.7187500000000002,0.5714285714285714,0.33766233766233766,0.9113924050632912,0.08979347500748279,0.2580333073280757,0.17437129246356667,,0.54858934169279,,,,0.23448275862068968,,0.053396659250463996,0.00808657485448936,0.4523809523809524,0.41111111111111115,0.8399999999999999,0.4988713318284424,0.1740660249330417
Argentina,ARG,0.20286489962134743,0.6588693957115009,0.6550976138828634,0.9038461538461539,0.7256944444444442,0.7142857142857142,0.14285714285714285,0.8607594936708861,0.2541155342711763,0.35192837997543663,0.3993665085455882,0.6484563692226805,0.5109717868338557,0.5061728395061729,0.5448028673835127,0.3446745562130178,0.27198275862068966,,0.07723610038387495,0.02313460131675201,0.3192640692640693,0.36666666666666664,0.22666666666666663,0.2957110609480812,0.3351368075974004
Armenia,ARM,0.10062870615131814,0.31773879142300193,0.48806941431670287,0.4999999999999999,0.6562499999999998,0.3214285714285714,0.20779220779220775,0.8860759493670887,0.21281053576773423,0.5178605912205221,0.22144000966855001,0.7161822453707508,0.6175548589341694,,0.2939068100358424,0.3446745562130178,0.14870689655172414,0.9990289376577974,0.017107219846219466,0.004468687382716835,0.5660173160173161,0.5,0.6533333333333333,0.6474793077501881,0.3173703788856021
Australia,AUS,0.4291812531256698,0.8966861598440545,0.8416485900216922,0.9807692307692307,0.8888888888888887,0.8571428571428571,0.7792207792207791,0.31645569620253167,0.2963184675246932,0.2795301287646473,0.0799669657874329,0.5971444062895356,0.7304075235109719,0.9382716049382716,,,,,0.10149054145964702,0.1747678190897236,0.03896103896103898,0.12222222222222223,0.0,0.19187358916478553,0.21860518735892445
Austria,AUT,0.48037079374151603,0.9025341130604289,0.8459869848156184,0.9038461538461539,0.8680555555555557,0.8214285714285714,0.5584415584415584,0.4556962025316456,0.39838371744986534,0.36027259174577675,1.0,0.8422687018385554,0.8965517241379312,0.7901234567901234,,,,,0.3394814806275721,0.08908749721700963,0.09740259740259741,0.0,0.026666666666666658,0.18848758465011284,0.5862187697318807
Azerbaijan,AZE,0.11854325926984353,0.48538011695906436,0.6182212581344902,0.6730769230769231,0.607638888888889,0.5357142857142857,0.06493506493506492,0.6202531645569621,0.040706375336725525,0.30756173673924964,0.3895821373538387,,0.4984326018808778,,,,0.0,1.0,0.02816235719967261,0.01271429025794345,0.6233766233766234,0.5777777777777778,0.39999999999999997,0.1696764484574868,0.24595008314327127
Bahrain,BHR,0.41801814674573123,0.695906432748538,0.8351409978308026,0.8461538461538461,0.7222222222222222,0.8571428571428571,0.5454545454545454,,0.06285543250523795,0.6017333405427115,0.36549133355490426,,0.5297805642633229,,,,0.009913793103448256,0.9535832200427268,0.13099012069581656,0.0173499570624344,0.5000000000000001,0.6555555555555556,0.29333333333333333,0.007900677200902933,0.34336003553428457
Bangladesh,BGD,0.029595627634493107,0.3216374269005847,0.2971800433839478,0.5192307692307692,0.5590277777777777,0.8392857142857143,0.40259740259740256,0.6075949367088608,0.09248727925770728,0.26578081429928707,0.009175051112386836,0.08213528744886056,0.35423197492163006,,,,0.49310344827586217,0.47756845989512525,0.01170069281934822,0.0013199325721192075,0.7619047619047619,0.7333333333333333,0.8666666666666666,0.14597441685477802,0.12248104822312705
Belarus,BLR,0.1556851468171751,0.5633528265107212,0.6334056399132322,0.8846153846153846,0.6284722222222221,0.33928571428571425,0.20779220779220775,0.6202531645569621,0.6575875486381322,0.2403986528761557,0.16270356829924162,,0.7711598746081505,,0.0,0.05177514792899409,0.2297413793103448,,0.12737039897633348,0.0044050761744219335,0.5811688311688312,0.5666666666666667,0.2799999999999999,0.19413092550790068,0.3535632566045099
Belgium,BEL,0.445854468814746,0.8323586744639375,0.8308026030368765,0.9230769230769231,0.8368055555555555,0.7678571428571428,0.45454545454545453,0.48101265822784817,0.47800059862316663,0.35900580097481094,0.4376831737015439,0.4974286512330973,0.8150470219435737,0.9012345679012346,,,,,0.09653359770366698,0.03824623898730956,0.130952380952381,0.15555555555555556,0.04,0.24830699774266363,0.4248965244331738
Benin,BEN,0.01962920625848396,0.42690058479532156,0.17353579175704986,0.0,0.21527777777777765,0.5357142857142857,0.3246753246753246,0.7721518987341772,0.09368452559114038,0.6426433443276355,0.1140939259348783,,0.08777429467084637,,,,0.5573275862068966,,0.0031124995677083932,0.0005725008746541141,0.6374458874458874,0.5777777777777778,0.8133333333333334,0.07411587659894657,0.28347393195121806
Bolivia,BOL,0.06766628563263556,0.5828460038986355,0.4316702819956617,0.6538461538461539,0.5416666666666665,0.8035714285714285,0.23376623376623376,0.8354430379746836,0.08769829392397485,0.5391256826380145,0.13262531347252016,,0.27899686520376177,,0.6666666666666667,0.5029585798816568,,,0.012657498242014132,0.0035622276645144875,0.6287878787878788,0.6111111111111112,0.7599999999999999,0.11963882618510156,0.2531497633448365
Bosnia and Herzegovina,BIH,0.1160605844109452,0.47368421052631576,0.561822125813449,0.6538461538461539,0.6875,0.23214285714285723,0.4935064935064935,0.9620253164556963,0.18886560909907213,0.2994704969064042,0.28290580213715244,,0.8369905956112854,,,,,,0.010513331873148351,0.003852453802359976,0.5876623376623377,0.5222222222222223,0.5599999999999999,0.7539503386004515,0.2570806360475429
Botswana,BWA,0.14651353861541758,0.1637426900584795,0.6203904555314533,0.6346153846153846,0.36458333333333337,0.6964285714285713,0.051948051948051924,0.7215189873417721,0.17689314576474108,0.5914445276955994,0.3933488432989898,,0.2852664576802508,,,,,,0.01858277519683678,0.002091218472694889,0.4880952380952381,0.3444444444444444,0.5599999999999999,0.6399548532731377,0.3872288389197767
Brazil,BRA,0.12210652282631992,0.7153996101364523,0.5921908893709329,0.8846153846153846,0.6423611111111112,0.5892857142857143,0.14285714285714285,0.7974683544303798,0.1143370248428614,0.21856775399541176,0.18507719732906303,0.34861902962390945,0.5203761755485894,0.48148148148148145,1.0,,,0.8696834336764419,0.07582971169031782,0.02448633949301867,0.5357142857142858,0.6333333333333333,0.43999999999999995,0.463882618510158,0.1726606587224454
Bulgaria,BGR,0.18160141458884047,0.47563352826510713,0.6507592190889372,0.9615384615384615,0.6562499999999998,0.46428571428571414,0.1818181818181818,0.949367088607595,0.33672553127806043,0.7073945049088143,0.4300591191548076,,0.8557993730407525,0.7037037037037037,,0.2899408284023669,,,0.10227443023966247,0.018534715816926943,0.37878787878787884,0.36666666666666664,0.38666666666666666,0.21331828442437922,0.49139305178056075
Burkina Faso,BFA,0.0084303779381296,0.3879142300194932,0.13232104121475063,0.6538461538461539,0.19791666666666655,0.3214285714285714,0.3116883116883117,0.7215189873417721,0.12810535767734207,0.32479086365778115,0.9830246447311438,0.006785731889653812,0.05956112852664578,,,,0.6245689655172415,,0.0015216664553241034,0.0006202092808752902,0.75,0.8222222222222223,0.8266666666666665,0.2155756207674943,0.4786402886887557
Cambodia,KHM,0.027514824605272558,0.3762183235867446,0.2971800433839478,0.6346153846153846,0.46875000000000006,0.9464285714285714,0.4935064935064935,0.8354430379746836,0.037114636336426206,0.35646835726589476,0.5542798440946308,,0.3103448275862069,,,,,,0.06445179660391714,0.01593460767787284,0.7251082251082251,0.6333333333333333,0.8399999999999999,0.007148231753197895,0.3159542792323173
Cameroon,CMR,0.024183753661498893,0.469785575048733,0.2776572668112797,0.48076923076923067,0.1458333333333332,0.6071428571428571,0.33766233766233766,0.8607594936708861,0.14845854534570488,0.3472802620094083,0.10048745606349015,,0.09717868338557993,,,,0.3862068965517242,,0.012334720509066597,0.0020951941732133203,0.8322510822510822,0.7666666666666667,0.8399999999999999,0.10985703536493603,0.19874208780620115
Canada,CAN,0.4260377223690791,0.9259259259259259,0.8373101952277657,0.9423076923076924,0.8923611111111113,0.9285714285714285,0.5844155844155844,0.25316455696202533,0.29841364860820113,0.30768725716625084,0.5276510459155412,0.42173405845916234,0.84012539184953,0.8148148148148148,,,,,0.2406077443600355,0.0810406793677046,0.042207792207792236,0.13333333333333336,0.053333333333333316,0.22009029345372458,0.3779173172299977
Chad,TCD,0.006608558976923627,0.3703703703703703,0.13882863340563986,0.42307692307692313,0.0,0.3214285714285714,0.3766233766233766,0.7974683544303798,0.07003891050583658,0.41315145101613626,0.3017342961597728,0.0,0.07523510971786836,,,,0.4056034482758621,,0.0008761109894290292,,0.9816017316017317,0.9333333333333333,1.0,0.051166290443942816,0.2616415525605819
