Country name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,0.7181143164634705,0.6788963675498962,0.6001272201538086,0.4959014058113098,0.5309350490570068,0.5779553651809692,0.5085140466690063,0.3889275789260864,0.5225661993026733,0.4270108640193939,0.37353554368019104,0.3936561644077301
Albania,,,0.5286047458648682,,0.5252232551574707,0.5689584016799927,0.4874962568283081,0.6015121340751648,0.6318302750587463,0.7346484065055847,0.7038506865501404,0.7298189401626587,0.7496110200881958,0.8242123126983643,0.777351438999176
Algeria,,,,,,0.5926958322525024,0.5295612812042236,0.5866634845733643,,0.0,,0.0,0.4366704821586609,0.5833805799484253,0.3850834369659424
Angola,,,,,,,0.5837017893791199,0.4560285806655884,0.4095548689365387,0.3745415508747101,,,,,
Argentina,,0.7330036759376526,0.6528326272964478,0.6782221794128418,0.6366464495658875,0.7302581667900085,0.8158020377159119,0.7474983930587769,0.7372503876686096,0.7450577616691589,0.8812236785888672,0.8477022051811218,0.8319661617279053,0.8458946943283081,0.8170526027679443
Armenia,,0.5201978087425232,0.6054107546806335,0.4621565639972687,0.4414127469062805,0.45925670862197876,0.4645247161388397,0.5018637776374817,0.5040818452835083,0.5064871311187744,0.5510266423225403,0.6109869480133057,0.6136970520019531,0.8076436519622803,
Australia,0.9349732995033264,,0.8906819820404053,0.9157333374023438,,0.932058572769165,0.944586455821991,0.9351462721824646,0.9333791732788086,0.9229322671890259,0.9218710064888,0.9223157167434692,0.9105501770973206,0.9160281419754028,0.9175369143486023
Austria,,0.9413823485374451,,0.8790692687034607,,0.8959797620773315,0.9393556118011475,0.9197039008140564,0.9217344522476196,0.8850268721580505,0.9003051519393921,0.88851398229599,0.890030562877655,0.9041119813919067,0.9034276604652405
Azerbaijan,,0.7715281844139099,0.5220463275909424,0.6010432839393616,0.4981383979320526,0.5010710954666138,0.5374842882156372,0.5988590717315674,0.6719569563865662,0.732772946357727,0.7642894983291626,0.7125731706619263,0.7310304641723633,0.772449254989624,0.8542485237121582
Bahrain,,,,,0.8959314227104187,0.8620029091835022,0.8698703646659851,0.6818228960037231,0.809205949306488,0.0,0.8495211601257324,0.8886910676956177,0.9058585166931152,,
Bangladesh,,0.6116642355918884,0.6045383214950562,0.6060121655464172,0.6309310793876648,0.6590056419372559,0.8379953503608704,0.6676822900772095,0.7415180206298828,0.7355128526687622,0.8147962689399719,0.8747004866600037,0.8962171673774719,0.9014708399772644,0.9019366502761841
Belarus,,0.7070804834365845,0.6672995090484619,0.6399238705635071,0.679292619228363,0.7000644207000732,0.6560108661651611,0.6452488303184509,0.7234312891960144,0.6471845507621765,0.6227534413337708,0.6582288146018982,0.6209792494773865,0.6436023712158203,0.656933605670929
Belgium,0.9238430261611938,,0.9008703827857971,0.8870267271995544,,0.8069302439689636,0.8801535964012146,0.8552666306495667,0.8907110691070557,0.8609535098075867,0.8694749474525452,0.865759015083313,0.8568019866943359,0.8083866238594055,0.7762036323547363
